2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-AI-Agent
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-AI-Tool]: autoDerived=[pyRuleName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyPurpose}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-AI-Tool
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Async-JobScheduler]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Async-JobScheduler
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Async-QueueProcessor]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Async-QueueProcessor
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-ClassMetadata]: autoDerived=[pyRuleName, pyLabel, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyClassName, pyLabel=pyClassName}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-ClassMetadata
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Connect-GenerativeAI]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Connect-GenerativeAI
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Connect-REST]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Connect-REST
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-CorrType]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[pxObjClass], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-CorrType
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Decision-DataSet]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Decision-DataSet
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Declare-DecisionTable]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Declare-DecisionTable
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Declare-Pages]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Declare-Pages
2026-09-03 14:32:30.964 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Edit-Validate]: autoDerived=[pxObjClass, pyRuleSet, pyRuleSetVersion], hardConsts=[pxObjClass], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.964 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Edit-Validate
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Notification]: autoDerived=[pyRuleName, pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={pyRuleName=pyPurpose}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Notification
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-Activity]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-Activity
2026-09-03 14:32:30.977 INFO  [main] com.pega.mcp.builder.SchemaBuilder - SchemaBuilder[Rule-Obj-AttachmentCategory]: autoDerived=[pyRuleSet, pyRuleSetVersion], hardConsts=[], softConsts=[], deriveFrom={}, functionTemplates=0
2026-09-03 14:32:30.977 INFO  [main] c.p.m.b.RuleTypeBuilderRegistry - Registered SchemaBuilder for Rule-Obj-AttachmentCategory
